原始微博内容,发布日期,博主输入月份,博主输入日,博主输入星期,上海,深圳,北京,长沙,武汉,广州,苏州,郑州,南京,成都,西安,重庆
#地铁客流排行榜# 8月2日（周二），北京地铁线网客运量为1196万，上海地铁客运量为1041.5万，广州地铁客运量为281.2万，南京地铁客运量为215.5万，成都地铁客运量180.68万，武汉地铁客运量177.41万，深圳地铁线网客运量130.37万，西安地铁客运量100.42万。广州深圳因台风影响客流大幅下降。,2016/8/3,8,2,周二,1041.5,130.37,1196, ,177.41,281.2, , ,215.5,180.68,100.42, 
#地铁客流排行榜# 8月1日（周一），北京地铁线网客运量为1206.11万，上海地铁客运量为1042万，广州地铁客运量为765.6万，深圳地铁线网客运量为398.26万，南京地铁客运量为225万，成都地铁客运量187.29万(因3号线开通，客流创历史新高），武汉地铁客运量187.28万西安地铁客运量104.64万。,2016/8/2,8,1,周一,1042,398.26,1206.11, ,187.28,765.6, , ,225,187.29,104.64, 
#地铁客流排行榜# 8月1日（周一），北京地铁线网客运量为1206.11万，上海地铁客运量为1042万，广州地铁客运量为765.6万，深圳地铁线网客运量为398.26万，南京地铁客运量为XXX万，成都地铁客运量187.29万(因3号线开通，客流创历史新高），武汉地铁客运量187.28万西安地铁客运量104.64万。,2016/8/2,8,1,周一,1042,398.26,1206.11, ,187.28,765.6, , ,187.29,187.29,104.64, 
#地铁客流排行榜# 7月31日（周日），北京地铁线网客运量为772万，上海地铁客运量为690万，广州地铁客运量为675.8万，深圳地铁线网客运量为365万，南京地铁客运量为162万，武汉地铁客运量153.7万，成都地铁客运量128.46万，西安地铁客运量94.38万。,2016/8/1,7,31,周日,690,365,772, ,153.7,675.8, , ,162,128.46,94.38, 
#地铁客流排行榜# 7月30日（周六），北京地铁线网客运量为786.9万，上海地铁客运量为753万，广州地铁客运量为652.8万，深圳地铁线网客运量为335.3万，南京地铁客运量为176.8万，武汉地铁客运量159.97万，成都地铁客运量116.3万，西安地铁客运量93.76万。成都地铁3号线一期工程于2016.7.31开通试运营。,2016/7/31,7,30,周六,753,335.3,786.9, ,159.97,652.8, , ,176.8,116.3,93.76, 
#地铁客流排行榜# 7月29日（周五），北京地铁线网客运量为1229.44万，上海地铁客运量为1062万，广州地铁客运量为764.3万，深圳地铁线网客运量为402.4万，南京地铁客运量为222万，武汉地铁客运量187.81万，成都地铁客运量159.29万，西安地铁客运量106.57万。,2016/7/30,7,29,周五,1062,402.4,1229.44, ,187.81,764.3, , ,222,159.29,106.57, 
#地铁客流排行榜# 7月28日（周四），北京地铁线网客运量为1189.8万，上海地铁客运量为1014.6万，广州地铁客运量为738.9万，深圳地铁线网客运量为388.9万，南京地铁客运量为211.5万，武汉地铁客运量179.74万，成都地铁客运量154.33万，西安地铁客运量103.17万。,2016/7/29,7,28,周四,1014.6,388.9,1189.8, ,179.74,738.9, , ,211.5,154.33,103.17, 
#地铁客流排行榜# 7月27日（周三），北京地铁线网客运量为1216.4万，上海地铁客运量为1019万，广州地铁客运量为726.7万，深圳地铁线网客运量为390万，南京地铁客运量为214.4万，武汉地铁客运量180.6万，成都地铁客运量153.8万，西安地铁客运量105万。,2016/7/28,7,27,周三,1019,390,1216.4, ,180.6,726.7, , ,214.4,153.8,105, 
#地铁客流排行榜# 7月26日（周二），北京地铁线网客运量为1229.4万，上海地铁客运量为1028万，广州地铁客运量为739.2万，深圳地铁线网客运量为392万，南京地铁客运量为215万，武汉地铁客运量184万，成都地铁156.8万，西安地铁客运量102万。,2016/7/27,7,26,周二,1028,392,1229.4, ,184,739.2, , ,215,156.8,102, 
#地铁客流排行榜# 7月25日（周一），北京地铁线网客运量为1171.84万，上海地铁客运量为1033.9万，广州地铁客运量为754.7万，深圳地铁线网客运量为398.12万，南京地铁客运量为219.7万，武汉地铁客运量192.3万，成都地铁155.41万，西安地铁客运量105.44万。,2016/7/26,7,25,周一,1033.9,398.12,1171.84, ,192.3,754.7, , ,219.7,155.41,105.44, 
