原始微博内容,发布日期,博主输入月份,博主输入日,博主输入星期,上海,深圳,北京,长沙,武汉,广州,苏州,郑州,南京,成都,西安,重庆
#地铁客流排行榜# 7月16日（周六），北京地铁线网客运量为904.29万，上海地铁客运量为808.8万，广州地铁客运量为730.7万，深圳地铁线网客运量为375万，南京地铁客运量为216.3万，武汉地铁客运量约186.78万，成都地铁118.96万，西安地铁客运量104.6万。,2016/7/17,7,16,周六,808.8,375,904.29, ,186.78,730.7, , ,216.3,118.96,104.6, 
#地铁客流排行榜# 7月15日（周五），北京地铁线网客运量为1265.47万，上海地铁客运量为1093万，广州地铁客运量为813.3万，深圳地铁线网客运量为417.37万，南京地铁客运量为239.3万，武汉地铁客运量约192.12万，西安地铁客运量118万。深圳继上周五之后再创历史新高。,2016/7/16,7,15,周五,1093,417.37,1265.47, ,192.12,813.3, , ,239.3, ,118, 
#地铁客流排行榜# 7月14日（周四），北京地铁路网客运量1218.53万，上海地铁客运量1026万，广州地铁客运量为766万， 深圳地铁路网客运量393.66万，南京地铁客运量为222.6万，武汉地铁客运量191.35万，成都地铁客运量151.65万，西安地铁客运量101.4万。,2016/7/15,7,14,周四,1026,393.66,1218.53, ,191.35,766, , ,222.6,151.65,101.4, 
#地铁客流排行榜# 7月13日（周三），北京地铁路网客运量1224.69万，上海地铁客运量1068万，广州地铁客运量为768.5万， 深圳地铁路网客运量384.55万，南京地铁客运量为231.7万，武汉地铁客运量191.12万，成都地铁客运量155.84万，西安地铁客运量107.39万。,2016/7/14,7,13,周三,1068,384.55,1224.69, ,191.12,768.5, , ,231.7,155.84,107.39, 
#地铁客流排行榜# 7月12日（周二），北京地铁路网客运量1219.25万，上海地铁客运量1079.1万，广州地铁客运量为741.1万， 深圳地铁路网客运量395.6万，南京地铁客运量为241.1万，武汉地铁客运量199.67万，成都地铁客运量158.91万，西安地铁客运量113.55万。,2016/7/13,7,12,周二,1079.1,395.6,1219.25, ,199.67,741.1, , ,241.1,158.91,113.55, 
#地铁客流排行榜# 7月11日（周一），北京地铁路网客运量1226.65万，上海地铁客运量1033.8万，广州地铁客运量为788.3万， 深圳地铁路网客运量390.76万，南京地铁客运量为239万，武汉地铁客运量209.46万，成都地铁客运量161.92万，西安地铁客运量110.2万。,2016/7/12,7,11,周一,1033.8,390.76,1226.65, ,209.46,788.3, , ,239,161.92,110.2, 
#地铁客流排行榜# 7月10日（周日），北京地铁路网客运量776.53万，广州地铁客运量为704.4万， 上海地铁客运量656万，深圳地铁路网客运量343.68万，南京地铁客运量为187.1万，武汉地铁客运量177.9万，成都地铁客运量121.15万，西安地铁客运量103.15万。,2016/7/11,7,10,周日,656,343.68,776.53, ,177.9,704.4, , ,187.1,121.15,103.15, 
#地铁客流排行榜# 7月9日（周六），北京地铁路网客运量857.97万，上海地铁客运量761.5万，广州地铁客运量为745.8万， 深圳地铁路网客运量358.92万，南京地铁客运量为213.5万，武汉地铁客运量189.29万，成都地铁客运量124.07万，西安地铁客运量105.69万。周末客流通常按例大幅下降，不过广州一直较例外。,2016/7/10,7,9,周六,761.5,358.92,857.97, ,189.29,745.8, , ,213.5,124.07,105.69, 
#地铁客流排行榜# 7月8日（周五），北京地铁路网客运量1271.31万，上海地铁客运量1103.8万，广州地铁客运量为840.4万， 深圳地铁路网客运量416.82万，南京地铁客运量为261.1万，武汉地铁客运量221.28万，成都地铁客运量168.78万，西安地铁客运量118.3万。周五客流普遍大幅上升，昨日深圳创新高。,2016/7/9,7,8,周五,1103.8,416.82,1271.31, ,221.28,840.4, , ,261.1,168.78,118.3, 
#地铁客流排行榜# 7月7日（周四），北京地铁路网客运量1214.46万，上海地铁客运量1061.2万，广州地铁客运量为773.7万， 深圳地铁路网客运量391万，南京地铁客运量为240.7万，武汉地铁客运量203.43万，成都地铁客运量156.22万，西安地铁客运量109.48万。,2016/7/8,7,7,周四,1061.2,391,1214.46, ,203.43,773.7, , ,240.7,156.22,109.48, 
#地铁客流排行榜# 7月6日（周三），北京地铁路网客运量1212万，上海地铁客运量1069.9万，广州地铁客运量为762.7万， 深圳地铁路网客运量381.33万，南京地铁客运量为245.3万，武汉地铁客运量158.1万，成都地铁客运量152.27万，西安地铁客运量107.32万。,2016/7/8,7,6,周三,1069.9,381.33,1212, ,158.1,762.7, , ,245.3,152.27,107.32, 
#地铁客流排行榜# 7月6日（周三），北京地铁路网客运量1212万，上海地铁客运量1069.9万，广州地铁客运量为762.7万， 深圳地铁路网客运量381.33万，南京地铁客运量为XXX万，武汉地铁客运量158.1万，成都地铁客运量152.27万，西安地铁客运量107.32万。,2016/7/7,7,6,周三,1069.9,381.33,1212, ,158.1,762.7, , ,158.1,152.27,107.32, 
#地铁客流排行榜# 7月5日（周二），北京地铁路网客运量1206万，上海地铁客运量1049万，广州地铁客运量为746.8万， 深圳地铁路网客运量383.83万，南京地铁客运量为243.3万，武汉地铁客运量195.32万，成都地铁客运量151.93万，西安地铁客运量106.7万。,2016/7/6,7,5,周二,1049,383.83,1206, ,195.32,746.8, , ,243.3,151.93,106.7, 
#地铁客流排行榜# 7月4日（周一），北京地铁路网客运量1202万，上海地铁客运量1060.9万，广州地铁客运量为727万， 深圳地铁路网客运量380.5万，南京地铁客运量为231.9万，武汉地铁客运量192万，成都地铁客运量159.85万，西安地铁客运量107.15万。,2016/7/5,7,4,周一,1060.9,380.5,1202, ,192,727, , ,231.9,159.85,107.15, 
#地铁客流排行榜# 7月3日（周日），北京地铁路网客运量752.22万，上海地铁客运量685.8万，广州地铁客运量为637.4万， 深圳地铁路网客运量342.96万，南京地铁客运量为181.8万，武汉地铁客运量166.99万，成都地铁客运量118.82万，西安地铁客运量99.07万。,2016/7/4,7,3,周日,685.8,342.96,752.22, ,166.99,637.4, , ,181.8,118.82,99.07, 
#地铁客流排行榜# 一线城市周末因通勤客流的缺少各地总客流几乎均呈大幅下降趋势（广州较例外，其周末也坚挺），但个别线路因休闲观光客流的强劲注入导致总量上升，昨天深圳11号线就属于此类。 ,2016/7/3, , ,广州较例外，其周末也坚挺, , , , , , , , , , , , 
#地铁客流排行榜# 7月2日（周六），北京地铁路网客运量809.79万，上海地铁客运量745万，广州地铁客运量为694万， 深圳地铁路网客运量354万（其中11号线26万），南京地铁客运量为194.4万，武汉地铁客运量144.88万，成都地铁客运量123.18万，西安地铁客运量101.25万。,2016/7/3,7,2,周六,745,354,809.79, ,144.88,694, , ,194.4,123.18,101.25, 
#地铁客流排行榜# 7月1日（周五），北京地铁路网客运量1230.58万，上海地铁客运量1092.7万，广州地铁客运量为786.1万， 深圳地铁路网客运量410.04万，南京地铁客运量为225.2万，武汉地铁客运量200.81万，成都地铁客运量163.34万，西安地铁客运量114.03万。,2016/7/2,7,1,周五,1092.7,410.04,1230.58, ,200.81,786.1, , ,225.2,163.34,114.03, 
#地铁客流排行榜# 6月30日（周四），北京地铁路网客运量1185.3万，上海地铁客运量1075.3万，广州地铁客运量为728.8万， 深圳地铁路网客运量387.2万，南京地铁客运量为245.6万，武汉地铁客运量199.98万，成都地铁客运量148.8万。,2016/7/1,6,30,周四,1075.3,387.2,1185.3, ,199.98,728.8, , ,245.6,148.8, , 
#地铁客流排行榜# 6月29日（周三），北京地铁路网客运量1172.92万，上海地铁客运量1032万，广州地铁客运量为716.8万， 深圳地铁路网客运量389.8万（含新增11号线18.97万），南京地铁客运量为242.9万，武汉地铁客运量208.27万，成都地铁客运量150.63万。,2016/6/30,6,29,周三,1032,389.8,1172.92, ,208.27,716.8, , ,242.9,150.63, , 
#地铁客流排行榜# 6月28日（周二），北京地铁路网客运量1144.4万，上海地铁客运量1000.3万，广州地铁客运量为681.6万， 深圳地铁路网客运量380.53万（新增11号线14.2万），南京地铁客运量为227.5万，武汉地铁客运量189.73万，成都地铁客运量150.96万.,2016/6/29,6,28,周二,1000.3,380.53,1144.4, ,189.73,681.6, , ,227.5,150.96, , 
#地铁客流排行榜# 6月27日（周一），北京地铁路网客运量1146.64万，上海地铁客运量1011.3万，广州地铁客运量为742.3万， 深圳地铁路网客运量356.82万，南京地铁客运量为223.9万，武汉地铁客运量185.85万，成都地铁客运量151万,2016/6/28,6,27,周一,1011.3,356.82,1146.64, ,185.85,742.3, , ,223.9,151, , 
#地铁客流排行榜# 6月26日（周日），北京地铁路网客运量721.51万，上海地铁客运量719万，广州地铁客运量为655.2万， 深圳地铁路网客运量293.42万，南京地铁客运量为193.1万，武汉地铁客运量168.27万，成都地铁客运量106.65万,2016/6/27,6,26,周日,719,293.42,721.51, ,168.27,655.2, , ,193.1,106.65, , 
#地铁客流排行榜# 6月25日（周六），北京地铁路网客运量791.24万，上海地铁客运量724.4万，广州地铁客运量为691.3万， 深圳地铁路网客运量312万，南京地铁客运量为205.3万，武汉地铁客运量163.64万，成都地铁客运量121.89万,2016/6/26,6,25,周六,724.4,312,791.24, ,163.64,691.3, , ,205.3,121.89, , 
#地铁客流排行榜# 6月24日（周五），北京地铁路网客运量1199.56万，上海地铁客运量1084.8万，广州地铁客运量为785.4万， 深圳地铁路网客运量372万，南京地铁客运量为236.7万，武汉地铁客运量209.63万，成都地铁客运量160万。,2016/6/25,6,24,周五,1084.8,372,1199.56, ,209.63,785.4, , ,236.7,160, , 
#地铁客流排行榜# 6月23日（周四），北京地铁路网客运量1143.67万，上海地铁客运量1063万，广州地铁客运量为721.7万， 深圳地铁路网客运量348万，南京地铁客运量为230.3万，武汉地铁客运量198.5万，成都地铁客运量141.6万。,2016/6/24,6,23,周四,1063,348,1143.67, ,198.5,721.7, , ,230.3,141.6, , 
#地铁客流排行榜# 6月22日（周三），北京地铁路网客运量1138.7万，上海地铁客运量1015万，广州地铁客运量为720.4万， 深圳地铁路网客运量347万，南京地铁客运量为226.6万，武汉地铁客运量203.2万，成都地铁客运量142万。,2016/6/23,6,22,周三,1015,347,1138.7, ,203.2,720.4, , ,226.6,142, , 
#地铁客流排行榜# 6月21日（周二），北京地铁路网客运量1149.18万，上海地铁客运量1072万，广州地铁客运量为718.2万， 深圳地铁路网客运量348万，南京地铁客运量为222.8万，武汉地铁客运量198.62万，成都地铁客运量145.43万。,2016/6/22,6,21,周二,1072,348,1149.18, ,198.62,718.2, , ,222.8,145.43, , 
#地铁客流排行榜# 6月20日（周一），北京地铁路网客运量1149.23万，上海地铁客运量1021.3万，广州地铁客运量为729.7万， 深圳地铁路网客运量344.63万，南京地铁客运量为232.9万，武汉地铁客运量189.45万，成都地铁客运量146.62万。,2016/6/21,6,20,周一,1021.3,344.63,1149.23, ,189.45,729.7, , ,232.9,146.62, , 
#地铁客流排行榜# 6月19日（周日），北京地铁路网客运量735.46万，上海地铁客运量707万，广州地铁客运量为684.4万， 深圳地铁路网客运量305.24万，南京地铁客运量为191.7万，武汉地铁客运量136.19万，成都地铁客运量111.58万。,2016/6/20,6,19,周日,707,305.24,735.46, ,136.19,684.4, , ,191.7,111.58, , 
#地铁客流排行榜# 6月18日（周六），北京地铁路网客运量810.3万，上海地铁客运量800.3万，广州地铁客运量为704.1万， 深圳地铁路网客运量319.1万，南京地铁客运量为210.7万，武汉地铁客运量190.2万，成都地铁客运量124.4万。,2016/6/19,6,18,周六,800.3,319.1,810.3, ,190.2,704.1, , ,210.7,124.4, , 
#地铁客流排行榜# 6月17日（周五），北京地铁路网客运量1187.3万，上海地铁客运量1099.4万，广州地铁客运量为762.3万， 深圳地铁路网客运量370万，南京地铁客运量为247.3万，武汉地铁客运量213万，成都地铁客运量161.5万。,2016/6/18,6,17,周五,1099.4,370,1187.3, ,213,762.3, , ,247.3,161.5, , 
#地铁客流排行榜# 6月16日（周四），北京地铁路网客运量1152.47万，上海地铁客运量1052.2万，广州地铁客运量为716.5万， 深圳地铁路网客运量345.43万，南京地铁客运量为230.3万，武汉地铁客运量193.62万，成都地铁客运量145.52万。,2016/6/17,6,16,周四,1052.2,345.43,1152.47, ,193.62,716.5, , ,230.3,145.52, , 
#地铁客流排行榜# 6月15日（周三），北京地铁路网客运量1153.81万，上海地铁客运量1039.5万，广州地铁客运量为700.5万， 深圳地铁路网客运量342.84万，南京地铁客运量为228.3万，武汉地铁客运量192.14万，成都地铁客运量145.16万。,2016/6/16,6,15,周三,1039.5,342.84,1153.81, ,192.14,700.5, , ,228.3,145.16, , 
