 #地铁客流排行榜# 2月5日（年廿七），上海地铁客运量为657.1万，北京地铁路网客运量为572.87万，广州地铁客运量为464.4万，深圳地铁路网客运量173.3万，南京地铁客运量为154.9万，武汉地铁客运量为142.58万，成都地铁客运量为95.87万。,2016-02-06 09:14:00 来自 微博 weibo.com
转发微博,2016-01-28 09:29:00 来自 微博 weibo.com
要是办理客运业务的火车站，其实坂田站也算一个，目前还是有个别列车在此站办理上下客的。,2016-01-28 09:28:00 来自 微博 weibo.com
【任正非：年终奖制度是最落后的制度 我坚决反对】'' （分享自  @凤凰财经 ）   O 任正非：年终奖制度是最落后的制度 我坚决反对 ,2016-01-27 17:45:00 来自 分享按钮
转发微博,2016-01-24 19:16:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 更新12月31日（周四），北京地铁线网客运量为1193.69万，上海地铁客运量为1083.3万，广州地铁客运量为879.1万，深圳地铁线网客运量407.65万，南京地铁客运量为298.1万，武汉地铁客运量约为248.37万，成都地铁客运量为157.74万，均创出历史新高。,2016-01-04 10:19:00 来自 微博 weibo.com
 #地铁客流排行榜# 1月3日（周日），北京地铁客运量675.2万，广州地铁客运量为636.2万，上海地铁客运量为627.3万，深圳地铁线网客运量为233.42万，南京地铁客运量为209.6万，武汉地铁客运量为192.9万，成都地铁客运量为110.87万。,2016-01-04 10:16:00 来自 微博 weibo.com
 #地铁客流排行榜# 1月2日（周六），上海地铁客运量为710万，广州地铁客运量为705.7万，北京地铁客运量673.11万，深圳地铁线网客运量为309.12万，南京地铁客运量为220.7万，武汉地铁客运量为190.11万，成都地铁客运量为109.19万。,2016-01-03 13:02:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 1月1日（元旦），广州地铁客运量为833.7万，上海地铁客运量为761.1万，北京地铁线网客运量为734.13万，深圳地铁线网客运量为365.9万，南京地铁客运量为254.2万，武汉地铁客运量为221.28万，成都地铁客运量为127.78万。,2016-01-02 11:11:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 12月31日（周四），北京地铁线网客运量为1193.69万，上海地铁客运量为1083.3万，广州地铁客运量为879.1万，深圳地铁线网客运量超过362.17万（不完全统计），南京地铁客运量为298.1万，武汉地铁客运量约为248.37万，成都地铁客运量为157.74万，除北深个别城市外几乎均创出历史新高。,2016-01-01 13:27:00 来自 华为Ascend Mate7
转发微博,2015-12-26 11:06:00 来自 微博 weibo.com
